
Quadro extraído em 08 de Novembro de 2025 (12:20:08)
http://www.ine.pt



Período de referência dos dados (1) ;Local de residência (NUTS - 2013) (2) ;População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual;;;
;;Sexo;;;
;;HM;H;M;
;;Grupo etário;;;
;;Total;;;
;;N.º ;N.º ;N.º ;
;1811509: Santiago do Cacém;29042;14162;14880;
;1811513: Sines;14386;6996;7390;
;184: Baixo Alentejo;123233;60022;63211;
;1840201: Aljustrel;9121;4507;4614;
;1840202: Almodôvar;7228;3556;3672;
;1840203: Alvito;2510;1179;1331;
;1840204: Barrancos;1751;844;907;
;1840205: Beja;35363;17062;18301;
;1840206: Castro Verde;7242;3517;3725;
;1840207: Cuba;4820;2315;2505;
;1840208: Ferreira do Alentejo;8032;3912;4120;
;1840209: Mértola;6756;3364;3392;
;1840210: Moura;14513;7072;7441;
;1840212: Ourique;5269;2573;2696;
;1840213: Serpa;14969;7348;7621;
;1840214: Vidigueira;5659;2773;2886;
;185: Lezíria do Tejo;243323;116305;127018;
;1851403: Almeirim;23054;10904;12150;
;1851404: Alpiarça;7486;3567;3919;
;1851103: Azambuja;21564;10796;10768;
;1851405: Benavente;29034;13994;15040;
;1851406: Cartaxo;24027;11512;12515;
;1851407: Chamusca;9481;4578;4903;
;1851409: Coruche;19135;9083;10052;
;1851412: Golegã;5822;2714;3108;
;1851414: Rio Maior;21043;10139;10904;
;1851415: Salvaterra de Magos;21996;10435;11561;
;1851416: Santarém;60681;28583;32098;
;186: Alto Alentejo;114846;54717;60129;
;1861201: Alter do Chão;3486;1612;1874;
;1861202: Arronches;3133;1503;1630;
;1861203: Avis;4305;2043;2262;
;1861204: Campo Maior;8388;4064;4324;
;1861205: Castelo de Vide;3400;1607;1793;
;1861206: Crato;3643;1698;1945;
;1861207: Elvas;22447;10727;11720;
;1861208: Fronteira;3278;1549;1729;
;1861209: Gavião;3952;1849;2103;
;1861210: Marvão;3382;1645;1737;
;1861211: Monforte;3240;1519;1721;
;1861212: Nisa;7016;3307;3709;
;1861213: Ponte de Sor;16223;7802;8421;
;1861214: Portalegre;24104;11539;12565;
;1861215: Sousel;4849;2253;2596;
;187: Alentejo Central;162372;78032;84340;
;1870701: Alandroal;5573;2716;2857;
;1870702: Arraiolos;7045;3429;3616;
;1870703: Borba;7084;3502;3582;
;1870704: Estremoz;13644;6511;7133;
;1870705: Évora;55847;26423;29424;
;1870706: Montemor-o-Novo;16873;8127;8746;
;1870707: Mora;4793;2299;2494;
;1870708: Mourão;2571;1264;1307;
;1870709: Portel;6139;3016;3123;
;1870710: Redondo;6822;3343;3479;
;1870711: Reguengos de Monsaraz;10524;5099;5425;
;1870712: Vendas Novas;11693;5637;6056;
;1870713: Viana do Alentejo;5701;2725;2976;
;1870714: Vila Viçosa;8063;3941;4122;
;15: Algarve;449952;217747;232205;
;150: Algarve;449952;217747;232205;
;1500801: Albufeira;41391;20170;21221;
;1500802: Alcoutim;2801;1382;1419;
;1500803: Aljezur;5674;2825;2849;
;1500804: Castro Marim;6574;3250;3324;
;1500805: Faro;65696;31147;34549;
;1500806: Lagoa;22790;11105;11685;
;1500807: Lagos;31140;15032;16108;
;1500808: Loulé;69765;33797;35968;
;1500809: Monchique;5722;2881;2841;
;1500810: Olhão;44675;21737;22938;
;1500811: Portimão;56353;26940;29413;
;1500812: São Brás de Alportel;10711;5207;5504;
;1500813: Silves;36474;18034;18440;
;1500814: Tavira;26096;12683;13413;
;1500815: Vila do Bispo;5253;2575;2678;
;1500816: Vila Real de Santo António;18837;8982;9855;
;2: Região Autónoma dos Açores;245336;120632;124704;
;20: Região Autónoma dos Açores;245336;120632;124704;
;200: Região Autónoma dos Açores;245336;120632;124704;
;2004301: Angra do Heroísmo;35277;17159;18118;
;2004501: Calheta;3678;1832;1846;
;2004901: Corvo;407;225;182;
;2004701: Horta;14859;7253;7606;
;2004201: Lagoa;14364;7117;7247;
;2004801: Lajes das Flores;1481;780;701;
;2004601: Lajes do Pico;4602;2287;2315;
;2004602: Madalena;6166;3019;3147;
;2004202: Nordeste;4833;2380;2453;
;2004203: Ponta Delgada;68911;33514;35397;
;2004204: Povoação;6166;3033;3133;
;2004205: Ribeira Grande;32209;16145;16064;
;2004401: Santa Cruz da Graciosa;4287;2106;2181;
;2004802: Santa Cruz das Flores;2224;1090;1134;
;2004603: São Roque do Pico;3364;1649;1715;
;2004502: Velas;5312;2657;2655;
;2004302: Vila da Praia da Vitória;20656;10239;10417;
;2004101: Vila do Porto;5514;2663;2851;
;2004206: Vila Franca do Campo;11026;5484;5542;
;3: Região Autónoma da Madeira;261748;122694;139054;
;30: Região Autónoma da Madeira;261748;122694;139054;
;300: Região Autónoma da Madeira;261748;122694;139054;
;3003101: Calheta;11112;5017;6095;
;3003102: Câmara de Lobos;34365;16509;17856;
;3003103: Funchal;110112;50987;59125;
;3003104: Machico;21195;10263;10932;
;3003105: Ponta do Sol;8651;3974;4677;
;3003106: Porto Moniz;2648;1141;1507;
;3003201: Porto Santo;5432;2712;2720;
;3003107: Ribeira Brava;13080;5870;7210;
;3003108: Santa Cruz;42532;20411;22121;
;3003109: Santana;7288;3319;3969;
;3003110: São Vicente;5333;2491;2842;

População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual - INE, Estimativas anuais da população residente

Nota(s):
